object	parent_dir	type_obj	size
ps4_r2.svg	\images\api\dark	file	1466
ps4_r2_lg.png	\images\api\dark	file	4573
ps4_r2_md.png	\images\api\dark	file	2417
ps4_r2_sm.png	\images\api\dark	file	786
ps4_r2_soft.svg	\images\api\dark	file	1675
ps4_r2_soft_lg.png	\images\api\dark	file	5363
ps4_r2_soft_md.png	\images\api\dark	file	2814
ps4_r2_soft_sm.png	\images\api\dark	file	917
ps4_trackpad.svg	\images\api\dark	file	13868
ps4_trackpad_click.svg	\images\api\dark	file	15803
ps4_trackpad_click_lg.png	\images\api\dark	file	8894
ps4_trackpad_click_md.png	\images\api\dark	file	4325
ps4_trackpad_click_sm.png	\images\api\dark	file	996
ps4_trackpad_down.svg	\images\api\dark	file	14267
ps4_trackpad_down_lg.png	\images\api\dark	file	6311
ps4_trackpad_down_md.png	\images\api\dark	file	3259
ps4_trackpad_down_sm.png	\images\api\dark	file	788
ps4_trackpad_left.svg	\images\api\dark	file	10417
ps4_trackpad_left_lg.png	\images\api\dark	file	5882
ps4_trackpad_left_md.png	\images\api\dark	file	2839
ps4_trackpad_left_sm.png	\images\api\dark	file	762
ps4_trackpad_lg.png	\images\api\dark	file	5338
ps4_trackpad_l_click.svg	\images\api\dark	file	7937
ps4_trackpad_l_click_lg.png	\images\api\dark	file	9209
ps4_trackpad_l_click_md.png	\images\api\dark	file	4517
ps4_trackpad_l_click_sm.png	\images\api\dark	file	1027
ps4_trackpad_l_down.svg	\images\api\dark	file	7717
ps4_trackpad_l_down_lg.png	\images\api\dark	file	4384
ps4_trackpad_l_down_md.png	\images\api\dark	file	2868
ps4_trackpad_l_down_sm.png	\images\api\dark	file	808
ps4_trackpad_l_left.svg	\images\api\dark	file	7599
ps4_trackpad_l_left_lg.png	\images\api\dark	file	6639
ps4_trackpad_l_left_md.png	\images\api\dark	file	3276
ps4_trackpad_l_left_sm.png	\images\api\dark	file	787
ps4_trackpad_l_right.svg	\images\api\dark	file	7798
ps4_trackpad_l_right_lg.png	\images\api\dark	file	4531
ps4_trackpad_l_right_md.png	\images\api\dark	file	2341
ps4_trackpad_l_right_sm.png	\images\api\dark	file	558
ps4_trackpad_l_ring.svg	\images\api\dark	file	6364
ps4_trackpad_l_ring_lg.png	\images\api\dark	file	5864
ps4_trackpad_l_ring_md.png	\images\api\dark	file	2849
ps4_trackpad_l_ring_sm.png	\images\api\dark	file	774
ps4_trackpad_l_swipe.svg	\images\api\dark	file	6109
